Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	5.834E-8	2.370E-9	1.459E-3	1.015E-1	6.962E+0	-5.465E+0	6.454E+0	6.916E-1	3.019E-1	3.801E+2	1.958E-5	-4.000E+0	
-3.760E+0	4.179E-8	2.396E-9	1.045E-3	1.027E-1	9.825E+0	-8.205E+0	9.108E+0			3.805E+2	1.224E-5		
-3.520E+0	3.516E-8	2.401E-9	8.790E-4	1.029E-1	1.170E+1	-1.044E+1	1.085E+1			3.809E+2	1.175E-5		
-3.280E+0	3.078E-8	2.399E-9	7.695E-4	1.028E-1	1.335E+1	-1.278E+1	1.238E+1			3.812E+2	1.028E-5		
-3.040E+0	2.739E-8	2.404E-9	6.847E-4	1.030E-1	1.504E+1	-1.554E+1	1.395E+1			3.816E+2	1.468E-5		
-2.800E+0	2.444E-8	2.372E-9	6.111E-4	1.016E-1	1.663E+1	-1.864E+1	1.541E+1			3.820E+2	1.077E-5		
-2.560E+0	2.180E-8	2.385E-9	5.449E-4	1.022E-1	1.875E+1	-2.300E+1	1.738E+1			3.823E+2	7.342E-6		
-2.320E+0	1.939E-8	2.372E-9	4.847E-4	1.016E-1	2.096E+1	-2.837E+1	1.943E+1			3.827E+2	4.406E-6		
-2.080E+0	1.705E-8	2.347E-9	4.262E-4	1.005E-1	2.359E+1	-3.561E+1	2.187E+1			3.830E+2	1.175E-5		
-1.840E+0	1.465E-8	2.213E-9	3.664E-4	9.479E-2	2.587E+1	-4.415E+1	2.399E+1			3.834E+2	1.909E-5		
-1.600E+0	1.261E-8	2.404E-9	3.152E-4	1.030E-1	3.267E+1	-6.412E+1	3.029E+1			3.838E+2	1.126E-5		
-1.360E+0	1.048E-8	2.372E-9	2.619E-4	1.016E-1	3.879E+1	-8.956E+1	3.596E+1			3.841E+2	3.425E-6		
-1.120E+0	8.395E-9	2.338E-9	2.099E-4	1.002E-1	4.773E+1	-1.338E+2	4.424E+1			3.845E+2	3.425E-6		
-8.800E-1	6.388E-9	2.373E-9	1.597E-4	1.017E-1	6.365E+1	-2.271E+2	5.901E+1			3.849E+2	1.028E-5		
-6.400E-1	4.315E-9	2.366E-9	1.079E-4	1.013E-1	9.396E+1	-4.610E+2	8.710E+1			3.852E+2	7.831E-6		
-4.000E-1	2.343E-9	2.367E-9	5.858E-5	1.014E-1	1.731E+2	-1.359E+3	1.605E+2			3.856E+2	3.915E-6		
