Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	1.462E-7	3.528E-10	3.656E-3	1.729E-2	4.730E-1	-3.713E-1	3.856E-1	6.900E-1	3.057E-1	3.801E+2	1.214E-5	-4.000E+0	
-3.780E+0	1.380E-7	4.025E-10	3.451E-3	1.973E-2	5.717E-1	-4.749E-1	4.661E-1			3.805E+2	3.371E-6		
-3.560E+0	1.190E-7	3.451E-10	2.975E-3	1.691E-2	5.685E-1	-5.014E-1	4.635E-1			3.809E+2	1.146E-5		
-3.340E+0	1.109E-7	4.270E-10	2.772E-3	2.093E-2	7.550E-1	-7.098E-1	6.155E-1			3.812E+2	1.821E-5		
-3.120E+0	9.906E-8	3.533E-10	2.477E-3	1.732E-2	6.993E-1	-7.038E-1	5.701E-1			3.816E+2	8.094E-6		
-2.900E+0	7.222E-8	3.245E-10	1.806E-3	1.591E-2	8.810E-1	-9.539E-1	7.182E-1			3.820E+2	1.079E-5		
-2.680E+0	6.705E-8	3.506E-10	1.676E-3	1.719E-2	1.025E+0	-1.201E+0	8.358E-1			3.823E+2	3.371E-6		
-2.460E+0	5.465E-8	3.765E-10	1.366E-3	1.846E-2	1.351E+0	-1.724E+0	1.101E+0			3.827E+2	2.023E-5		
-2.240E+0	4.096E-8	3.435E-10	1.024E-3	1.684E-2	1.644E+0	-2.305E+0	1.340E+0			3.830E+2	6.071E-6		
-2.020E+0	3.775E-8	3.096E-10	9.437E-4	1.518E-2	1.608E+0	-2.500E+0	1.311E+0			3.834E+2	3.035E-5		
-1.800E+0	2.650E-8	3.392E-10	6.625E-4	1.663E-2	2.510E+0	-4.378E+0	2.046E+0			3.838E+2	8.094E-6		
-1.580E+0	2.125E-8	3.933E-10	5.312E-4	1.928E-2	3.629E+0	-7.213E+0	2.959E+0			3.841E+2	3.237E-5		
-1.360E+0	1.822E-8	3.736E-10	4.555E-4	1.831E-2	4.020E+0	-9.282E+0	3.277E+0			3.845E+2	2.023E-6		
-1.140E+0	1.256E-8	3.054E-10	3.141E-4	1.497E-2	4.766E+0	-1.313E+1	3.885E+0			3.849E+2	1.079E-5		
-9.200E-1	7.297E-9	3.366E-10	1.824E-4	1.650E-2	9.044E+0	-3.087E+1	7.373E+0			3.852E+2	3.371E-6		
-7.000E-1	3.891E-9	2.945E-10	9.729E-5	1.444E-2	1.484E+1	-6.656E+1	1.210E+1			3.856E+2	1.146E-5		
-4.800E-1	7.730E-10	3.077E-10	1.933E-5	1.508E-2	7.804E+1	-5.105E+2	6.362E+1			3.860E+2	2.967E-5		
-2.600E-1	1.920E-9	2.838E-10	4.801E-5	1.391E-2	2.898E+1	-3.500E+2	2.362E+1			3.863E+2	2.023E-5		
-4.000E-2	4.237E-9	3.443E-10	1.059E-4	1.687E-2	1.593E+1	-1.250E+3	1.299E+1			3.867E+2	3.371E-6		
1.800E-1	6.608E-9	3.177E-10	1.652E-4	1.557E-2	9.426E+0	1.644E+2	7.685E+0			3.870E+2	3.371E-6		
4.000E-1	9.203E-9	3.062E-10	2.301E-4	1.501E-2	6.523E+0	5.120E+1	5.317E+0			3.874E+2	8.768E-6		
6.200E-1	1.192E-8	2.804E-10	2.981E-4	1.375E-2	4.611E+0	2.335E+1	3.759E+0			3.878E+2	0.000E+0		
8.400E-1	1.519E-8	3.234E-10	3.797E-4	1.585E-2	4.174E+0	1.560E+1	3.403E+0			3.881E+2	1.281E-5		
1.060E+0	1.876E-8	3.436E-10	4.689E-4	1.684E-2	3.592E+0	1.064E+1	2.929E+0			3.885E+2	6.742E-7		
1.280E+0	2.250E-8	3.336E-10	5.625E-4	1.635E-2	2.907E+0	7.130E+0	2.370E+0			3.889E+2	1.416E-5		
1.500E+0	3.039E-8	3.755E-10	7.597E-4	1.840E-2	2.423E+0	5.071E+0	1.975E+0			3.892E+2	6.742E-7		
1.720E+0	2.474E-7	3.718E-10	6.186E-3	1.822E-2	2.946E-1	5.378E-1	2.402E-1			3.896E+2	2.563E-5		
1.940E+0	1.496E-6	8.112E-10	3.741E-2	3.976E-2	1.063E-1	1.720E-1	8.665E-2			3.900E+2	2.765E-5		
